简名(城市/机场名),全名,IATA,ICAO,坐标
乌鲁木齐/天山,乌鲁木齐地窝堡国际机场,URC,ZWWW,"43.9072222,87.4741667"
无锡/硕放,无锡硕放国际机场,WUX,ZSWX,"31.4944444,120.4294444"
芜湖/宣州,芜湖宣州机场,WHA,ZSWA,"31.1027778,118.6638889"
梧州/西江,梧州西江机场,WUZ,ZGWZ,"23.4013889,111.0986111"
五大连池/德都,五大连池德都机场,DTU,ZYDU,"48.4450000,126.1330000"
武汉/天河,武汉天河国际机场,WUH,ZHHH,"30.7836111,114.2080556"
武夷山,武夷山机场,WUS,ZSWY,"27.7008333,118.0002778"
西安/咸阳,西安咸阳国际机场,XIY,ZLXY,"34.4469444,108.7513889"
西昌/青山,西昌青山机场,XIC,ZUXC,"27.9891667,102.1844444"
西宁/曹家堡,西宁曹家堡国际机场,XNN,ZLXN,"36.5275000,102.0427778"
西双版纳/嘎洒,西双版纳嘎洒国际机场,JHG,ZPJH,"21.9739139,100.7596111"
锡林浩特,锡林浩特机场,XIL,ZGXN,"43.9167000,115.9640000"
湘西/边城,湘西边城机场,DXJ,ZGXX,"28.4972000,109.5218000"
襄阳/刘集,襄阳刘集机场,XFN,ZHXF,"32.1500000,112.2905556"
忻州/五台山,忻州五台山机场,WUT,ZBXZ,"38.5991667,112.9677778"
新源/那拉提,新源那拉提机场,NLT,ZWNL,"43.4330556,83.3802778"
信阳/明港,信阳明港机场,XAI,ZHXY,"32.5413889,114.0777778"
邢台/褡裢,邢台褡裢机场,XNT,ZBXT,"36.8827778,114.4291667"
兴义/万峰林,兴义万峰林机场,ACX,ZUYI,"25.0883333,104.9586111"
徐州/观音,徐州观音国际机场,XUZ,ZSXZ,"34.0590556,117.5552778"
烟台/蓬莱,烟台蓬莱国际机场,YNT,ZSYN,"37.6600900,120.9785700"
延安/南泥湾,延安南泥湾机场,ENY,ZLYA,"36.4763889,109.4652778"
延吉/朝阳川,延吉朝阳川国际机场,YNJ,ZSYT,"42.8827778,129.4511111"
盐城/南洋,盐城南洋国际机场,YNZ,ZYSQ,"33.4258333,120.2030556"
扬州/泰州,扬州泰州国际机场,YTY,ZPYM,"32.5616667,119.7150000"
伊春/林都,伊春林都机场,LDS,ZYLD,"47.7519444,129.0188889"
伊犁/伊宁,伊犁伊宁机场,YIN,ZSYW,"43.9558333,81.3302778"
宜宾/五粮液,宜宾五粮液机场,YBP,ZBYC,"28.8580000,104.5250000"
宜昌/三峡,宜昌三峡机场,YIH,ZWYN,"30.5564722,111.4799444"
宜春/明月山,宜春明月山机场,YIC,ZBES,"27.8033333,114.3080556"
义乌,义乌机场,YIW,ZYYK,"29.3447222,120.0322222"
银川/河东,银川河东国际机场,INC,ZLIC,"38.3216667,106.3925000"
营口/兰旗,营口兰旗机场,YKH,ZGYL,"40.5408333,122.3572222"
永州/零陵,永州零陵机场,LLF,ZGLG,"26.3455556,111.6122222"
于田/万方,于田万方机场,YTW,ZSYA,"36.8108330,81.7808330"
榆林/榆阳,榆林榆阳机场,UYN,ZLYL,"38.2700000,109.7300000"
玉林/福绵,玉林福绵机场,YLX,ZYYJ,"22.4334000,110.1199000"
玉树/巴塘,玉树巴塘机场,YUS,ZLYS,"32.8387000,97.0382000"
岳阳/三荷,岳阳三荷机场,YYA,ZGYY,"29.3137000,113.2818000"
运城/盐湖,运城张孝机场,YCU,ZSYC,"35.1166667,111.0396167"
扎兰屯/成吉思汗,扎兰屯成吉思汗机场,NZL,ZBZL,"47.8658333,122.7675000"
湛江/吴川,湛江吴川国际机场,ZHA,ZGZJ,"21.2175000,110.3577778"
张家界/荷花,张家界荷花国际机场,DYG,ZGDY,"29.1030556,110.4433333"
张家口/宁远,张家口宁远机场,ZQZ,ZBZJ,"40.7391667,114.9308333"
张掖/甘州,张掖甘州机场,YZY,ZLZY,"38.8019444,100.6750000"
长春/龙嘉,长春龙嘉国际机场,CGQ,ZYCC,"43.9961111,125.6852778"
长海/大长山岛,长海大长山岛机场,CNI,ZYCH,"39.2663889,122.6669444"
长沙/黄花,长沙黄花国际机场,CSX,ZGHA,"28.1966667,113.2208333"
长治/王村,长治王村机场,CIH,ZBCZ,"36.2475000,113.1260000"
昭苏/天马,昭苏天马机场,ZFL,ZWZS,"43.1075000,81.1605556"
昭通,昭通机场,ZAT,ZPZT,"27.3278333,103.7566667"
郑州/新郑,郑州新郑国际机场,CGO,ZHCC,"34.5197222,113.8408333"
中卫/沙坡头,中卫沙坡头机场,ZHY,ZLZW,"37.5727778,105.1544444"
重庆/江北,重庆江北国际机场,CKG,ZUCK,"29.7191667,106.6416667"
重庆/巫山,重庆巫山机场,WSK,ZUWS,"31.0640000,109.7060000"
重庆/仙女山,重庆仙女山机场,CQW,ZUWL,"29.4658333,107.6922222"
舟山/普陀山,舟山普陀山机场,HSN,ZSZS,"29.9341667,122.3622222"
珠海/金湾,珠海金湾机场,ZUH,ZGSD,"22.0105000,113.3749000"
遵义/茅台,遵义茅台机场,WMT,ZUMT,"27.9670000,106.4380000"
遵义/新舟,遵义新舟机场,ZYI,ZUZY,"27.8111000,107.2463000"
